sb_user,chsb_tokens,wallet_confirmed
38179,2265.498125,0xF0E604554C7cD4fAE6744Dfb426C7eC2d2aECa27
59364,8861.077891,0xaBCde2C50CBceCbB4691e2aAC0594fC02f7802D5
55317,5575.715612,0x77B0Ac4942cd562B38a138D0be7648D21a363c24
20207,3976.024325,0x90c593126CA495c89385B7755baDFcCd3D272096
39284,3769.342947,0x05742845928DbEa8D4e5c31eeA2e728EA14ff376
60802,1580.612728,0x3C1A55A4Da9d3Afa58b7201e5D7e50FD2C465
51694,6461.988626,0x2dDAD8834e70B275c39197fb6a9cbF082b3c5E42
56358,4182.075612,0x23c50F4891FCB828002137896225A538Dd10b721
4795,8194.362473,0xAbb2C33FF254f3940cA89B04398fA0240817Ea6d
52582,7836.11296,0x0064f206C9A7dF6895f3bbF58D7a0F509d01B505
54938,8917.401327,0xf8bE1A988535829D37B2443BE43F5a3bF03f6f91
63416,9177.915267,0x6a6e5aA6b53A7188B543ca47439ED0beC455397d
1663,7639.974639,0xEF82E79D660A2B021916A2DD2ADdE8A411144045
215,4160.76384,0xa3DFF1B7A16eB489558470F449392906C4bb1
9294,1235.131576,0x6c2Ea92f817804dB01C18b392e99A05852756aba
53215,5468.847614,0x7548edCAD00011351d7FeF14b8EB599bAc317d3f
61673,467.1799072,0xeb57FC0BECb6873723A5fe3F64A716e036c41ED0
16200,8008.903993,0x107000c5F1C7b0db858e425c50A4228497Db312c
62981,7565.766674,0x27aa041fc0C9B85B490264058d701b3dcDc9FD55
50068,7606.23589,0x4a68dC3e122614856f42991494a9220127Da8381
49593,3890.226315,0x3e97DC8FED8d6AE1a2C12b249789409274Fa92c9
59117,4362.330606,0x79AE8eB4AB20FfE702661Fd761151b1683c63
54382,3334.561417,0xcA884f2b9b083099f8ac79126a3E6a7695F2CbbC
42918,2520.057161,0x98FdC7b1ff6b4D3a3426b5e72c03D7390fc844F5
31020,3432.532721,0xa1da082757f0BBc2030b8DFc8a31B4f5c55822Ab
57059,6871.302901,0x54455d2e74329C06B90259E5Fca91Ea52F46e95A
65105,9282.397694,0x302a23f96c5Ff235967f27daBaE4b39240fbe011
22663,7062.583215,0x713b6Dd4820A94Ecb1F9Fca12BD7c15B5c3D70F4
50730,2178.464005,0x0813f8Ac1Adfb6F86Eb80fBab29f54E895138F38
60228,8074.504362,0x5d97389E5FF3d9811a6d4A95C80481c8062ad47B
38272,8373.365089,0x1Eb0a101591D8654A2ccb3D432862Ae0e64A2517
41349,7602.682904,0x652573A8bF62f041772d730B6f3DbFd5EC66B369
48334,489.8543442,0xd89e78D8d5dBdcb9A5bcF56B35D6Fb4AE8d98D1a
39454,3169.723422,0xb11F38f6A2563d9AE1C966C09c6965bb15894930
20204,7784.611,0x7d6BFE8eE58107FAA994F0fd887acbF3bD2b7B91
33760,3436.223291,0xD3E281cF09b8EEb959A79c3E6b8456BFBE251248
55457,9527.42965,0x5ebDFdc940B2233A6c6Ba21301eDcd418a8AEE38
728,9580.808484,0xA79dd02c85cc8287992d302C2c86a69b74d8b6eD
54922,9468.605053,0xb62a48414bC180Df1af35cfcc2778d09418a18D7
47993,925.0794979,0x5ec53404602355049f6956A30Ff77A4758eb0676
32686,8262.097198,0x9B7bf4025904A16cE925cd52de5d304801635a3D
57613,3044.49516,0xfD7A8D38D278C08f4Ed42f3C00734905E072fc44
48314,5231.46748,0xf4aaB230826Ff986dF4F8A10F926Ed20Ac3f4D5F
21197,5486.710366,0x89c16e4b449c1e989a92f0164998706cd65c6e59
28973,7009.112027,0xB4E0d40b9308d2538045891AC0cdeA491357E463
56787,1789.796536,0xF5F5e67675438650a2C418c09119d5aAe5aAfe36
63000,7562.723273,0xC4EFc39308fc4A121082064641f483ACF18AD3d2
1410,4469.992581,0xC93730Fe6fdd9C5f83494e5D5add3dBCE8d1b978
19215,1995.461908,0xfaa8fDC137833644F3ad02540B432Cff486410C5
30252,1609.103019,0xaE2e0392C76eFcF6e5599f8B0ea37f5Df4F48050
47907,7186.206606,0x283b8df3585c8f18212e1541abee51897bb6464f
65460,7359.681471,0x16FD42E6C94F8a7854AE7edC1542eCcd2C2dEa9E
45606,2725.535668,0x819A2A69007ec459A524cdb3e219c826429C40c2
9567,6338.785287,0xB606c167D0b3532302c7Bc687326e18D3707a3cF
36504,1846.068139,0x0cDcFBC1c4E1Fdf1ec1F4Ff8D29D99a07e296A7a
55132,6468.196602,0xBAA849d43445B679aA959ae6C51Fd1fcbF2B58e4
37315,4942.915871,0xEDa3b5Cc08A9C905C854565C40f2829BA00f0F3B
63719,7096.402661,0x76EEB5f89BC6fEDCD05f028E26Ba7dCA6678352D
3452,2995.182007,0x381e5ce0b24f66d4c70b36fb49f703a7DB2a79Fa
20931,9432.333854,0x8388b3DE95B1b1d86cAc0e3Ba30c30B2b1c6efe3
16916,2430.706498,0xd8BcD4b152Bd2ac173DeB15D14160ed1225f0E05
29253,658.0534829,0xFBA38D141cBCc2994C07394A6Ec6df5e15c6048a
48501,4363.96507,0xa5938FB1365D355DB47f9C6C5EB488bbfED74085
39763,6305.996589,0x098777768bfF6C259066F6e1850F16dF055a3486
44671,4321.512195,0x69Ac8A3f2EB28c9c40456d8Ab214C24914B499a2
56978,9738.977236,0x2d70DE12897205B31f67059de6275c59172Fa0bA
42069,2601.784284,0x59Fe24E39A25C6Eb0648ddFd3C2DF0902746c521
46386,7496.264191,0x38C52f62B149a8FC712D327FBF084660C00C492E
38788,266.8469942,0x97AE19161Fe4221e46ee5974AdB828a03BB795Fc
65372,354.8039021,0x60B2C47C765a487a399Ab0d15E490a391EA170D1
11500,449.0704551,0xbBd9999fB4747D9Bd275FFbdd09C0162Dfd29e02
60695,1927.82875,0x49BFd96E1188a3ad73cFf2795e46f2159643f905
31435,6760.784266,0x57E33318437344EF05784246c9C2b5D777C67b0a
56042,1166.918614,0x06f5631a7827ae18b6730749e802933658e683ef
26861,3699.327561,0x193Da9298e2b33374C345e50116f98c6D2831538
46718,9763.259856,0x6a4d7e09cd319DF5c70afB5f2EC4C7daC51f3c4d
24321,5888.159244,0xfFdB8a480FE5eaeAA6716df7975e8CaBB763EF61
27576,5501.971839,0x499369E9540d20F3D4643950d61a546fB23AefC7
32189,7278.199246,0x00CEabEc4dc326D689880216Aaf98a786Ce4E3a0
36950,9389.484881,0x99b39D4C19528bfb9DE924978Aaa20c74652c5AF
33726,490.3057736,0x4daC1ba0946a4daa4e5dF6601141CabCc7b4A626
4782,5028.966513,0xD2CF59d9B9d6F008cfe79b4a274a5e81c9aD232B
55212,677.5151657,0x5055E7C42AC88d4174CE2DCE1Ce2E399De02fe76
44495,4465.422481,0xf871CA9D25Bc0802783084cE44D838fb5Aad76f8
32209,2138.506426,0x00b52B527df67777F1375F39053aCDF298AaF380
63250,202.2657507,0xcCC700937a58Bc35642F3830807A2CbEBAb122ff
16525,7431.195024,0x46c522ad7A8f9834e6D0fd35224cC0b5E93D154A
59782,7357.036259,0x2c9911ff1cbcba96c9157272ec9ad47a030ccb7b
43376,7572.264871,0xdD2Bbb7719c9F975c6F3072be1418D9695E040b0
23863,4477.095106,0x220BDe1CB005e10C1B5A4E680A29F60390822a5B
25079,9451.525829,0xD956f9A96a4FC1B0e7F98CC7cE22Bd5Acc341AFb
47986,5661.056516,0x8F9bF7d57007229b6442cd3c8eB7Cf1e7dCCF292
57097,9113.553083,0x10B9a2d61384D04256f965C16D2d23228b37825e
58760,6970.791178,0xc74F0d3D54BF64086888d57Efaac72f21D9E4BFc
44812,8845.813639,0x4371063400a6258364Ca9eaD561B11f16B016fd2
40877,7203.286968,0x9A411A631BA68de0b22D80eD7e26552c0390215A
44232,37.68187204,0x45aA89A6B36873f8c1DBaA983b1198BE27f407C6
46364,726.2201435,0x5DB0E8b927677bfBF51EA924f28D2311fB1b62D0
28899,8508.353252,0xcD4a005339cC97de0466332FfaE0215F68FbDFaF
